"harvest"	"location"	"per.acre.supp"	"per.acre.exp"	"per.acre.top4"
"1"	"boot"	"interior"	11412.1723422859	11412.1723422859	9129.73787382868
"2"	"boot"	"perimeter"	9674.01070861462	9674.01070861462	4169.83220198906
"3"	"cgl"	"control"	3902.96294106176	3902.96294106176	2601.97529404117
"4"	"crp"	"control"	929.276890728991	929.276890728991	232.319222682248
"5"	"cwb"	"control"	7434.21512583193	7434.21512583193	15100.7494743461
"6"	"gl"	"interior"	7075.54685221723	7075.54685221723	6162.57306483436
"7"	"gl"	"perimeter"	9629.85954412297	9629.85954412297	9055.89440573154
"8"	"rp"	"interior"	6794.04660110751	6794.04660110751	578.21673200915
"9"	"rp"	"perimeter"	8840.04426821681	8840.04426821681	1667.93288079562
"10"	"wedge"	"interior"	6288.10696059951	6288.10696059951	867.325098013725
"11"	"wedge"	"perimeter"	8673.25098013725	8673.25098013725	0
